NumOfVertices,NumOfEdge,Source,Mtx+Arr runtime(ms),List+Heap runtime(ms)
530,140185,382,1686,9694
530,140185,382,2715,20389
530,140185,382,2289,8046
530,140185,382,1684,9759
530,140185,382,1699,7572
530,140185,382,2196,11413
530,140185,382,1687,9399
530,140185,382,1705,8941
530,140185,382,1716,10401
530,140185,382,1776,9085
530,140185,382,1725,10678
530,140185,382,1712,7852
530,140185,382,1701,8162
550,150975,272,9163,12420
550,150975,275,1851,10784
550,150975,275,1785,10225
550,150975,275,1840,9945
550,150975,275,1904,11024
550,150975,275,2026,10999
550,150975,275,1808,9765
550,150975,275,1808,9829
550,150975,275,1967,14345
550,150975,275,1900,12098
550,150975,275,2697,8460
550,150975,275,1893,8481
550,150975,275,3132,15648
550,150975,275,1838,8798
550,150975,275,1813,8525
550,150975,275,1830,8661
550,150975,275,1824,8630
550,150975,275,2364,9377
550,150975,275,1816,9373
550,150975,275,1822,9687
570,162165,205,2184,9663
570,162165,208,2841,10000
570,162165,208,2130,9520
570,162165,208,2005,11533
570,162165,208,3262,17955
570,162165,208,1977,9873
570,162165,208,1946,10509
570,162165,208,1955,10740
570,162165,208,2618,10425
570,162165,208,2214,10121
570,162165,208,2543,9374
570,162165,208,1991,9364
570,162165,208,1967,11302
570,162165,208,1961,10839
570,162165,208,1955,10408
570,162165,208,1959,11844
570,162165,208,2783,12359
570,162165,208,1981,10123
570,162165,208,2665,11460
570,162165,212,5252,17320
590,173755,182,2125,11995
590,173755,182,2219,11042
590,173755,182,2081,11030
590,173755,182,3719,12473
590,173755,182,2107,12077
590,173755,182,2152,10766
590,173755,182,2136,13569
590,173755,182,2650,10544
590,173755,182,2098,12385
590,173755,182,2270,11529
590,173755,182,2153,11200
590,173755,182,2102,11283
590,173755,182,2110,11654
590,173755,182,2096,13853
590,173755,182,2699,14280
590,173755,182,3136,15753
590,173755,185,2084,11035
590,173755,185,2103,11084
590,173755,185,2565,10780
590,173755,185,2100,11613
610,185745,195,4224,12106
610,185745,195,2220,12141
610,185745,195,2229,12483
610,185745,195,2840,19116
610,185745,195,2222,12978
610,185745,195,2204,12334
610,185745,195,2257,12267
610,185745,195,3373,11445
610,185745,195,2230,13443
610,185745,195,2235,12377
610,185745,195,2830,14835
610,185745,195,2593,12290
610,185745,198,2259,11558
610,185745,198,2298,13325
610,185745,198,2237,13510
610,185745,198,2308,12475
610,185745,198,3366,18385
610,185745,198,2252,12977
610,185745,198,2273,12229
610,185745,198,2260,16854
630,198135,248,2443,13658
630,198135,248,2444,13114
630,198135,248,2398,17308
630,198135,248,3125,14915
630,198135,248,2456,14228
630,198135,248,2411,13571
630,198135,248,2441,15344
630,198135,251,2353,13216
630,198135,251,2411,13472
630,198135,251,2393,13800
630,198135,251,2372,13404
630,198135,251,2366,14642
630,198135,251,2573,13634
630,198135,251,2387,13563
630,198135,251,2404,13323
630,198135,251,2398,14402
630,198135,251,2490,13127
630,198135,251,2367,13619
630,198135,251,2430,13973
630,198135,251,2392,13364
650,210925,341,2582,15066
650,210925,341,2871,14645
650,210925,345,3815,13983
650,210925,345,2587,14349
650,210925,345,2553,14559
650,210925,345,2551,14412
650,210925,345,3739,22505
650,210925,345,2854,13622
650,210925,345,3319,14160
650,210925,345,4207,23188
650,210925,345,2683,14365
650,210925,345,2582,14184
650,210925,345,2574,23255
650,210925,345,3004,13758
650,210925,345,2580,14357
650,210925,345,3604,20481
650,210925,348,2491,14126
650,210925,348,2623,16287
650,210925,348,2596,14878
650,210925,348,3025,18526
670,224115,478,3080,17578
670,224115,478,2731,16626
670,224115,478,2716,24655
670,224115,478,3056,15671
670,224115,478,2730,16105
670,224115,478,2791,20543
670,224115,478,2695,15308
670,224115,478,3450,15948
670,224115,478,2677,15802
670,224115,481,2716,15591
670,224115,481,3602,24097
670,224115,481,2688,16287
670,224115,481,3131,14832
670,224115,481,3117,16130
670,224115,481,2739,16340
670,224115,481,2742,15791
670,224115,481,2718,16188
670,224115,481,2674,15095
670,224115,481,2791,24900
670,224115,481,2739,15617
690,237705,651,3251,16700
690,237705,651,2868,16830
690,237705,654,2879,17892
690,237705,654,2894,16606
690,237705,654,2919,16672
690,237705,654,2939,16610
690,237705,654,4813,21558
690,237705,654,2879,16906
690,237705,654,2894,16638
690,237705,654,2881,17350
690,237705,654,3654,17253
690,237705,654,3664,17864
690,237705,654,2953,16634
690,237705,654,2910,17285
690,237705,658,2898,19233
690,237705,658,2863,17885
690,237705,658,2869,18431
690,237705,658,2833,16688
690,237705,658,2851,17259
690,237705,658,3692,17710
710,251695,158,3032,19421
710,251695,158,3031,19670
710,251695,158,3018,19223
710,251695,158,3402,28682
710,251695,158,3032,18858
710,251695,158,3023,18615
710,251695,161,3041,19642
710,251695,161,4272,17256
710,251695,161,4594,24224
710,251695,161,4067,17872
710,251695,161,3081,18366
710,251695,161,4926,20776
710,251695,161,3060,19101
710,251695,161,3040,18247
710,251695,161,3010,18191
710,251695,161,4469,26991
710,251695,161,3262,19210
710,251695,164,3354,17999
710,251695,164,3354,19172
710,251695,164,3021,18225
730,266085,394,3226,20481
730,266085,394,3203,18615
730,266085,394,4009,22694
730,266085,394,3927,19257
730,266085,394,4312,42680
730,266085,394,3188,19222
730,266085,394,3549,29469
730,266085,394,3203,21019
730,266085,398,3222,26992
730,266085,398,3257,19333
730,266085,398,3316,19328
730,266085,398,3241,20175
730,266085,398,3672,19556
730,266085,398,3270,19570
730,266085,398,3221,18823
730,266085,398,3226,22458
730,266085,398,3293,19330
730,266085,398,5011,30389
730,266085,398,3328,19895
730,266085,401,3226,22000
750,280875,671,3851,20498
750,280875,671,3490,20535
750,280875,671,3974,20752
750,280875,671,3586,20785
750,280875,671,3508,24398
750,280875,671,3477,20200
750,280875,671,3496,20971
750,280875,671,3913,21082
750,280875,671,4249,21551
750,280875,674,3397,20990
750,280875,674,5143,22975
750,280875,674,4203,20423
750,280875,674,3536,21998
750,280875,674,3532,21278
750,280875,674,3439,22251
750,280875,674,3464,22690
750,280875,674,3441,21609
750,280875,674,3821,21167
750,280875,674,8117,23386
750,280875,677,3431,20643
770,296065,217,4737,29955
770,296065,217,3549,21926
770,296065,217,7013,25729
770,296065,217,3778,22666
770,296065,217,6911,25701
770,296065,217,3509,22782
770,296065,217,3612,26138
770,296065,217,3987,21773
770,296065,217,5495,27822
770,296065,221,3584,21430
770,296065,221,3667,25575
770,296065,221,3662,21891
770,296065,221,7132,25296
770,296065,221,3597,22006
770,296065,221,4230,22291
770,296065,221,3636,21678
770,296065,221,3622,23238
770,296065,221,3623,22022
770,296065,221,3593,23307
770,296065,224,3615,22893
790,311655,554,3770,24050
790,311655,554,3786,24283
790,311655,554,5806,27035
790,311655,554,3819,25148
790,311655,554,3731,24375
790,311655,554,5096,30631
790,311655,554,3736,23624
790,311655,554,5137,30339
790,311655,557,3850,23799
790,311655,557,4059,24885
790,311655,557,4880,23103
790,311655,557,3803,24645
790,311655,557,4426,24213
790,311655,557,4552,23969
790,311655,557,4166,25922
790,311655,557,4312,22897
790,311655,557,3874,35568
790,311655,560,3784,23930
790,311655,560,6446,32861
790,311655,560,3823,23351
810,327645,120,4793,27061
810,327645,120,4081,25735
810,327645,120,4822,26153
810,327645,120,4575,24013
810,327645,120,4297,25662
810,327645,120,4047,31791
810,327645,124,4094,25044
810,327645,124,4029,32469
810,327645,124,3900,24878
810,327645,124,4350,27315
810,327645,124,4058,24422
810,327645,124,4287,30051
810,327645,124,4022,29269
810,327645,124,3980,25262
810,327645,124,6879,33015
810,327645,127,4349,24536
810,327645,127,4019,26959
810,327645,127,4062,25165
810,327645,127,4162,25986
810,327645,127,4032,24943
830,344035,517,4363,26915
830,344035,517,4861,36215
830,344035,517,4244,27680
830,344035,520,4831,27222
830,344035,520,4970,26202
830,344035,520,4258,27519
830,344035,520,4322,36369
830,344035,520,5087,25937
830,344035,520,4285,28355
830,344035,520,4189,25893
830,344035,520,4680,26104
830,344035,523,5322,38359
830,344035,523,5695,25947
830,344035,523,6994,30152
830,344035,523,4235,26672
830,344035,523,4440,26514
830,344035,523,7859,31600
830,344035,523,4332,26727
830,344035,523,5034,32165
830,344035,527,9704,37306
850,360825,107,4477,32260
850,360825,107,5292,29472
850,360825,107,8859,33952
850,360825,107,4403,35038
850,360825,107,4774,31770
850,360825,107,4404,28979
850,360825,110,4512,39711
850,360825,110,4396,28611
850,360825,156,4417,31265
850,360825,156,5891,33691
850,360825,156,4374,39735
850,360825,159,4389,28255
850,360825,159,4315,29155
850,360825,159,4389,27571
850,360825,159,4391,28189
850,360825,159,5392,29014
850,360825,159,5328,26975
850,360825,159,4340,29738
850,360825,159,4349,36840
850,360825,162,4752,26890
870,378015,612,5160,30587
870,378015,612,4611,29093
870,378015,612,4822,28673
870,378015,612,5471,30308
870,378015,612,4631,30787
870,378015,612,8416,38628
870,378015,616,5472,32330
870,378015,616,4555,29834
870,378015,616,4574,29243
870,378015,616,4964,30012
870,378015,616,4534,28851
870,378015,616,4626,28822
870,378015,616,5158,32368
870,378015,616,4979,28419
870,378015,619,4669,28986
870,378015,619,5156,35242
870,378015,619,5012,38976
870,378015,619,4559,28758
870,378015,619,5912,31765
870,378015,619,5581,38828
890,395605,219,5754,30148
890,395605,222,5366,30097
890,395605,222,6013,40555
890,395605,222,5523,29531
890,395605,222,6222,30923
890,395605,222,5414,41210
890,395605,222,5617,35515
890,395605,222,6282,30323
890,395605,225,5370,29401
890,395605,225,6026,31661
890,395605,225,5334,29857
890,395605,225,5480,30739
890,395605,225,4954,31488
890,395605,225,4909,30849
890,395605,225,4920,30450
890,395605,229,9119,32712
890,395605,229,4860,42917
890,395605,229,5367,32715
890,395605,229,4914,31583
890,395605,229,4899,39878
910,413595,739,4997,31974
910,413595,739,5023,31967
910,413595,742,5633,35871
910,413595,742,5041,35923
910,413595,742,5472,31681
910,413595,742,6041,35939
910,413595,742,8461,38999
910,413595,742,22115,46027
910,413595,745,6952,33243
910,413595,745,5048,31936
910,413595,745,5791,35620
910,413595,745,5055,33104
910,413595,745,5773,50310
910,413595,745,5042,31279
910,413595,745,5106,31935
910,413595,748,5346,32844
910,413595,748,5406,38933
910,413595,748,5805,37001
910,413595,748,10471,36033
910,413595,752,7304,37191
930,431985,372,5686,68699
930,431985,372,8751,36092
930,431985,372,5528,33736
930,431985,372,5417,35495
930,431985,375,5244,34828
930,431985,375,9375,44694
930,431985,375,13637,38615
930,431985,378,7274,41411
930,431985,378,6368,57717
930,431985,378,7758,38973
930,431985,378,26864,84594
930,431985,381,21416,47034
930,431985,381,7350,43245
930,431985,385,5395,35284
930,431985,385,5554,35014
930,431985,385,5814,43476
930,431985,385,5989,34972
930,431985,385,5838,34676
930,431985,385,5737,34462
930,431985,388,5582,43384
950,450775,8,5654,36098
950,450775,8,5442,35457
950,450775,8,5513,36219
950,450775,8,5968,35369
950,450775,8,8578,54309
950,450775,8,5534,36034
950,450775,11,6023,35448
950,450775,11,5974,34636
950,450775,11,5515,36519
950,450775,11,5582,35879
950,450775,11,6088,38141
950,450775,11,6857,38179
950,450775,15,5575,35890
950,450775,15,5569,35460
950,450775,15,6482,36758
950,450775,15,5936,35161
950,450775,15,5738,35502
950,450775,15,5607,39775
950,450775,15,5770,41155
950,450775,18,5519,36570
970,469965,608,5965,37708
970,469965,608,5870,38758
970,469965,608,6226,37769
970,469965,608,6333,39447
970,469965,608,5819,39116
970,469965,611,6775,39318
970,469965,611,7427,42088
970,469965,611,6387,39372
970,469965,611,6235,11616354
970,469965,650,6471,44233
970,469965,650,5771,45250
970,469965,650,6312,37857
970,469965,653,5862,40409
970,469965,653,6351,39740
970,469965,653,7665,46531
970,469965,653,5971,42203
970,469965,653,5771,38952
970,469965,657,7132,43948
970,469965,657,6204,40685
970,469965,657,8819,46856
990,489555,297,8015,51614
990,489555,300,5998,38929
990,489555,300,6321,38389
990,489555,300,6078,38957
990,489555,300,6268,39674
990,489555,300,7035,74225
990,489555,303,6971,77194
990,489555,303,7698,44775
990,489555,303,7033,47571
990,489555,307,7873,46278
990,489555,307,7943,47582
990,489555,307,8056,60814
990,489555,307,6762,42625
990,489555,310,6336,38660
990,489555,310,6071,41122
990,489555,310,6548,41776
990,489555,310,6088,38832
990,489555,310,6567,42033
990,489555,313,6432,41097
990,489555,313,6419,39842
